Gemeinde;Verwaltungskreis;Schule;Träger;Unterrichtssprache;Bildungsstufe;Schultyp;Anzahl_Schueler;Anzahl_Frauen;Anzahl_Ausl;Anzahl_Fremdspr
Ringgenberg (BE);Interlaken-Oberhasli;die andere schule;Nicht subventionierte Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;13;6;0;0
Ringgenberg (BE);Interlaken-Oberhasli;Schule Ringgenberg;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;164;69;15;16
Saxeten;Interlaken-Oberhasli;Primar-/Realschule Saxeten;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;6;5;0;0
Schattenhalb;Interlaken-Oberhasli;Schulhaus Schattenhalb;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;41;21;2;7
Unterseen;Interlaken-Oberhasli;Schule Unterseen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;302;151;64;51
Wilderswil;Interlaken-Oberhasli;Internat Diapason;Nicht subventionierte Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;2;0;1;1
Wilderswil;Interlaken-Oberhasli;Schule Wilderswil;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;124;66;6;13
Beatenberg;Interlaken-Oberhasli;Schulhaus Spirenwald;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;22;7;4;1
Beatenberg;Interlaken-Oberhasli;Institut Beatenberg;Nicht subventionierte Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;13;4;1;0
Brienz (BE);Interlaken-Oberhasli;Schule Sekundarstufe I Dorf;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;91;41;5;4
Grindelwald;Interlaken-Oberhasli;Schule Graben;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;52;33;1;1
Gsteigwiler;Interlaken-Oberhasli;Christliches Internat Gsteigwiler;Nicht subventionierte Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;6;3;0;0
Interlaken;Interlaken-Oberhasli;Gymnasium Interlaken;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;73;47;3;0
Interlaken;Interlaken-Oberhasli;Sekundarstufe I Interlaken;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;136;69;15;21
Lauterbrunnen;Interlaken-Oberhasli;Schule Lauterbrunnen;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;32;19;4;1
Matten bei Interlaken;Interlaken-Oberhasli;Schulhaus Moos;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;40;18;4;3
Meiringen;Interlaken-Oberhasli;Schulhaus Kapellen;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;224;125;16;28
Ringgenberg (BE);Interlaken-Oberhasli;die andere schule;Nicht subventionierte Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;2;0;0;0
Ringgenberg (BE);Interlaken-Oberhasli;Schule Ringgenberg;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;35;19;3;0
Unterseen;Interlaken-Oberhasli;Schule Unterseen;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;79;46;5;7
Wilderswil;Interlaken-Oberhasli;Internat Diapason;Nicht subventionierte Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;2;0;0;0
Wilderswil;Interlaken-Oberhasli;Schule Wilderswil;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;55;28;1;3
Hasliberg;Interlaken-Oberhasli;Ecole d'Humanité;Nicht subventionierte Schule;Deutsch;Sekundarstufe I;Sekundarstufe I ohne Selektion;42;18;8;4
Hasliberg;Interlaken-Oberhasli;Ecole d'Humanité;Nicht subventionierte Schule;Englisch;Sekundarstufe I;Sekundarstufe I ohne Selektion;7;3;5;7
Ringgenberg (BE);Interlaken-Oberhasli;die andere schule;Nicht subventionierte Schule;Deutsch;Sekundarstufe I;Sekundarstufe I ohne Selektion;2;1;0;0
Beatenberg;Interlaken-Oberhasli;Schulhaus Schmocken;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;19;8;2;1
Bönigen;Interlaken-Oberhasli;Kindergarten und Schule Bönigen;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;40;19;2;3
Brienz (BE);Interlaken-Oberhasli;Kindergarten Dorf Brienz;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;24;11;4;4
Brienz (BE);Interlaken-Oberhasli;Kindergarten Kienholz;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;15;9;0;0
Brienz (BE);Interlaken-Oberhasli;Primarschule Dorf Brienz;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;10;6;0;0
Brienzwiler;Interlaken-Oberhasli;Kindergarten Brienzwiler;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;19;7;0;0
Därligen;Interlaken-Oberhasli;Kindergarten und Primarschule Därligen;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;13;6;2;2
Grindelwald;Interlaken-Oberhasli;Kindergarten Burglauenen;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;13;5;4;4
Grindelwald;Interlaken-Oberhasli;Schulhaus/Kindergarten Wärgistal;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;10;4;1;1
Grindelwald;Interlaken-Oberhasli;Schule Graben;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;21;9;4;3
Gsteigwiler;Interlaken-Oberhasli;Schule Gsteigwiler;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;11;3;1;1
Gündlischwand;Interlaken-Oberhasli;Schule Gündlischwand;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;8;5;0;0
Guttannen;Interlaken-Oberhasli;Schule Guttannen;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;5;2;0;0
Habkern;Interlaken-Oberhasli;Schule Habkern;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;7;1;0;0
Hasliberg;Interlaken-Oberhasli;Kindergarten Hasliberg;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;18;5;3;2
Innertkirchen;Interlaken-Oberhasli;Kindergarten;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;12;5;0;0
Interlaken;Interlaken-Oberhasli;Doppelkindergarten West;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;38;18;21;26
Interlaken;Interlaken-Oberhasli;Primarstufe Ost Interlaken;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;35;21;5;7
Iseltwald;Interlaken-Oberhasli;Kindergarten, Primar- und Realschule Iseltwald;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;15;4;0;1
Lauterbrunnen;Interlaken-Oberhasli;Schule Stechelberg;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;19;9;7;7
Lauterbrunnen;Interlaken-Oberhasli;Schule Wengen;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;14;8;7;6
Leissigen;Interlaken-Oberhasli;Schule und Kindergarten Leissigen;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;18;9;1;1
Matten bei Interlaken;Interlaken-Oberhasli;Kindergarten Kesslergasse;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;16;9;4;2
Matten bei Interlaken;Interlaken-Oberhasli;Kindergarten Unterdorf Matten;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;15;7;2;3
Matten bei Interlaken;Interlaken-Oberhasli;Schule Matten;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;16;8;2;4
Meiringen;Interlaken-Oberhasli;Schulhaus Pfrundmatte, Basisstufe und Kindergärten;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;70;38;18;14
Oberried am Brienzersee;Interlaken-Oberhasli;Kindergarten und Primarschule Oberried;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;12;4;0;1
Ringgenberg (BE);Interlaken-Oberhasli;Schule Ringgenberg;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;33;14;5;5
Unterseen;Interlaken-Oberhasli;Kindergarten Trybhus;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;57;29;10;7
Unterseen;Interlaken-Oberhasli;Kindergarten Unterseen;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;17;8;4;5
Wilderswil;Interlaken-Oberhasli;Schule Wilderswil;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;40;22;7;6
Herzogenbuchsee;Oberaargau;Schulhaus Burg;Öffentliche Schule;Deutsch;Primarstufe;Besondere Klassen Primarstufe;8;3;3;2
Herzogenbuchsee;Oberaargau;Schule Herzogenbuchsee;Öffentliche Schule;Deutsch;Primarstufe;Besondere Klassen Primarstufe;3;1;1;1
Langenthal;Oberaargau;IBEM-Region Langenthal;Öffentliche Schule;Deutsch;Primarstufe;Besondere Klassen Primarstufe;44;16;23;25
Niederbipp;Oberaargau;Schulhaus Doktorgässli;Öffentliche Schule;Deutsch;Primarstufe;Besondere Klassen Primarstufe;7;2;4;4
Niederbipp;Oberaargau;Schulhaus Wydenstrasse;Öffentliche Schule;Deutsch;Primarstufe;Besondere Klassen Primarstufe;10;3;3;5
Rohrbach;Oberaargau;Volksschule Rohrbach;Öffentliche Schule;Deutsch;Primarstufe;Besondere Klassen Primarstufe;12;5;0;1
Wiedlisbach;Oberaargau;Kindergarten und Primarschule Wiedlisbach;Öffentliche Schule;Deutsch;Primarstufe;Besondere Klassen Primarstufe;12;4;3;3
Herzogenbuchsee;Oberaargau;Schule Herzogenbuchsee;Öffentliche Schule;Deutsch;Sekundarstufe I;Besondere Klassen Sekundarstufe I;5;4;2;2
Langenthal;Oberaargau;IBEM-Region Langenthal;Öffentliche Schule;Deutsch;Sekundarstufe I;Besondere Klassen Sekundarstufe I;20;9;9;15
Niederbipp;Oberaargau;Schulhaus Gehrengasse;Öffentliche Schule;Deutsch;Sekundarstufe I;Besondere Klassen Sekundarstufe I;14;5;5;5
Aarwangen;Oberaargau;Volksschule Aarwangen;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;85;40;19;26
Bettenhausen;Oberaargau;Schulhaus Bettenhausen;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;32;15;0;0
Eriswil;Oberaargau;Kindergarten, Primar- und Realschule Eriswil;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;26;14;2;2
Gondiswil;Oberaargau;Schule Gondiswil;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;13;7;1;1
Heimenhausen;Oberaargau;Schulhaus Heimenhausen;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;21;6;1;1
Herzogenbuchsee;Oberaargau;Oberstufe Sek I Herzogenbuchsee;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;64;36;18;25
Herzogenbuchsee;Oberaargau;Schule Herzogenbuchsee;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;1;0;0;0
Huttwil;Oberaargau;Oberstufenschule Hofmatt;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;89;44;14;20
Inkwil;Oberaargau;Schuhaus Inkwil;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;17;6;0;1
Langenthal;Oberaargau;Schulzentrum Elzmatte;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;50;19;18;28
Langenthal;Oberaargau;Schulzentrum Hard;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;57;23;22;32
Langenthal;Oberaargau;Schulzentrum Kreuzfeld 1–3;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;94;36;29;42
Lotzwil;Oberaargau;Schulhaus Dorf, Lotzwil;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;56;25;14;11
Madiswil;Oberaargau;Oberstufenzentrum Kleindietwil (OSZK);Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;58;28;1;2
Melchnau;Oberaargau;Schule und Kindergarten Melchnau;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;31;13;6;9
Niederbipp;Oberaargau;Schulhaus Gehrengasse;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;57;21;15;23
Niederönz;Oberaargau;Schulhaus Oenz;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;42;23;7;9
Roggwil (BE);Oberaargau;Real- & Sekundarschule Roggwil;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;68;25;11;16
Roggwil (BE);Oberaargau;Waldschule Roggwil;Nicht subventionierte Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;5;1;1;1
Rohrbach;Oberaargau;Volksschule Rohrbach;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;32;21;5;6
Schwarzhäusern;Oberaargau;Volksschule Schwarzhäusern;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;20;9;1;1
Thunstetten;Oberaargau;Schulhaus Byfang;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;56;23;15;19
Ursenbach;Oberaargau;Volksschule Ursenbach;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;23;10;0;0
Walterswil (BE);Oberaargau;Schule Walterswil;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;23;8;0;0
Wangen an der Aare;Oberaargau;Schule Wangen;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;51;21;13;14
Wiedlisbach;Oberaargau;Oberstufenzentrum Wiedlisbach;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;62;21;10;8
Wyssachen;Oberaargau;Primar- und Realschule Wyssachen;Öffentliche Schule;Deutsch;Sekundarstufe I;Realklassen, RILZ3+ und integrierte Sonderschulung;15;0;0;1
Aarwangen;Oberaargau;Schulhaus Dorf Aarwangen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;180;79;25;28
Aarwangen;Oberaargau;Volksschule Aarwangen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;88;45;16;19
Attiswil;Oberaargau;Schule Attiswil;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;74;41;5;7
Auswil;Oberaargau;Primarschule Auswil;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;16;5;0;0
Bannwil;Oberaargau;Kindergarten und Primarschule Bannwil;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;43;17;2;4
Eriswil;Oberaargau;Kindergarten, Primar- und Realschule Eriswil;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;103;50;6;7
Farnern;Oberaargau;Schulhaus Farnern;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;18;10;1;0
Gondiswil;Oberaargau;Schule Gondiswil;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;55;31;3;0
Graben;Oberaargau;Schulhaus Graben;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;18;5;0;0
Heimenhausen;Oberaargau;Schulhaus Heimenhausen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;54;22;0;0
Herzogenbuchsee;Oberaargau;Schulhaus Burg;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;187;94;34;42
Herzogenbuchsee;Oberaargau;Schule Herzogenbuchsee;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;111;49;20;23
Huttwil;Oberaargau;Kindergarten/Primarschule Huttwil;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;164;83;29;28
Huttwil;Oberaargau;Primarschulhaus Nyffel;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;56;25;5;7
Huttwil;Oberaargau;Primarschulhaus Schwarzenbach;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;56;30;4;7
Inkwil;Oberaargau;Schuhaus Inkwil;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;33;18;2;1
Langenthal;Oberaargau;Schulzentrum Elzmatte;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;136;65;24;53
Langenthal;Oberaargau;Schulzentrum Hard;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;165;82;60;104
Langenthal;Oberaargau;Schulzentrum Kreuzfeld 1–3;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;314;155;73;90
Langenthal;Oberaargau;Schulzentrum Kreuzfeld 4;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;117;53;34;48
Langenthal;Oberaargau;Rudolf Steiner-Schule Langenthal;Subventionierte Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;81;43;9;6
Lotzwil;Oberaargau;Schulhaus Kirchenfeld, Lotzwil;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;88;38;19;13
Lotzwil;Oberaargau;Schulhaus Bleienbach;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;34;13;3;3
Lotzwil;Oberaargau;Schulhaus Rütschelen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;39;18;0;0
Lotzwil;Oberaargau;Schulhaus Dorf, Lotzwil;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;59;27;12;10
Madiswil;Oberaargau;Schulhaus Neumatt;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;173;92;5;9
Melchnau;Oberaargau;Schule und Kindergarten Melchnau;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;99;38;16;11
Niederbipp;Oberaargau;Schulhaus Wydenstrasse;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;150;71;36;50
Niederbipp;Oberaargau;Schulhaus Doktorsträssli;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;78;48;13;18
Niederönz;Oberaargau;Schulhaus Oenz;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;151;75;17;22
Oberbipp;Oberaargau;Volksschule Oberbipp;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;91;40;13;15
Obersteckholz;Oberaargau;Kindergarten und Primarschule Obersteckholz;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;33;15;0;0
Ochlenberg;Oberaargau;Schulhaus Neuhaus;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;57;20;0;3
Roggwil (BE);Oberaargau;Primarschule Roggwil, Schulhaus I;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;125;64;14;11
Roggwil (BE);Oberaargau;Schule Roggwil;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;97;53;16;13
Roggwil (BE);Oberaargau;Waldschule Roggwil;Nicht subventionierte Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;2;0;1;1
Rohrbach;Oberaargau;Volksschule Rohrbach;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;88;40;6;6
Rohrbachgraben;Oberaargau;Volksschule Rohrbachgraben;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;36;17;0;0
Rumisberg;Oberaargau;Schulhaus Rumisberg;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;23;11;0;0
Schwarzhäusern;Oberaargau;Volksschule Schwarzhäusern;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;40;17;0;40
Seeberg;Oberaargau;Schule Seeberg;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;71;37;1;1
Thörigen;Oberaargau;Schulhaus Thörigen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;67;32;3;3
Thunstetten;Oberaargau;Schulhaus Dorf Bützberg;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;126;72;26;52
Thunstetten;Oberaargau;Schulhaus Thunstetten;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;18;7;1;1
Thunstetten;Oberaargau;Schulhaus Byfang;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;57;23;15;20
Ursenbach;Oberaargau;Volksschule Ursenbach;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;59;30;0;0
Walterswil (BE);Oberaargau;Schule Walterswil;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;33;12;2;0
Wangen an der Aare;Oberaargau;Schulhaus Walliswil bei Wangen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;17;12;0;0
Wangen an der Aare;Oberaargau;Schule Wangen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;125;65;16;21
Wangenried;Oberaargau;Schulhaus Wangenried;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;19;10;2;2
Wiedlisbach;Oberaargau;Kindergarten und Primarschule Wiedlisbach;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;111;61;16;18
Wynau;Oberaargau;Schule Wynau;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;78;29;26;35
Wyssachen;Oberaargau;Primar- und Realschule Wyssachen;Öffentliche Schule;Deutsch;Primarstufe;Regelklasse Primarstufe;77;28;0;1
Aarwangen;Oberaargau;Volksschule Aarwangen;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;68;37;3;5
Herzogenbuchsee;Oberaargau;Oberstufe Sek I Herzogenbuchsee;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;216;120;16;15
Huttwil;Oberaargau;Oberstufenschule Hofmatt;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;185;121;9;18
Langenthal;Oberaargau;Gymnasium Oberaargau;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;71;48;8;11
Langenthal;Oberaargau;Schulzentrum Elzmatte;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;58;26;13;21
Langenthal;Oberaargau;Schulzentrum Kreuzfeld 4;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;300;147;37;61
Madiswil;Oberaargau;Oberstufenzentrum Kleindietwil (OSZK);Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;130;72;4;3
Melchnau;Oberaargau;Schule und Kindergarten Melchnau;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;25;14;2;2
Niederbipp;Oberaargau;Schulhaus Gehrengasse;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;55;25;13;12
Roggwil (BE);Oberaargau;Real- & Sekundarschule Roggwil;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;93;51;6;5
Roggwil (BE);Oberaargau;Waldschule Roggwil;Nicht subventionierte Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;1;0;0;0
Wangen an der Aare;Oberaargau;Schule Wangen;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;37;21;1;1
Wiedlisbach;Oberaargau;Oberstufenzentrum Wiedlisbach;Öffentliche Schule;Deutsch;Sekundarstufe I;Sekundarklassen und spezielle Sekundarklassen;98;50;14;14
Langenthal;Oberaargau;Rudolf Steiner-Schule Langenthal;Subventionierte Schule;Deutsch;Sekundarstufe I;Sekundarstufe I ohne Selektion;48;18;1;1
Aarwangen;Oberaargau;Kindergarten Riedgasse;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;22;15;4;6
Aarwangen;Oberaargau;Kindergarten Vorstadt;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;22;14;1;4
Aarwangen;Oberaargau;Kindergarten Waldweg;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;20;8;2;4
Aarwangen;Oberaargau;Schulhaus Dorf Aarwangen;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;19;9;3;8
Attiswil;Oberaargau;Schule Attiswil;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;23;9;2;3
Bannwil;Oberaargau;Kindergarten und Primarschule Bannwil;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;17;8;0;0
Bettenhausen;Oberaargau;Schulhaus Bettenhausen;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;11;5;0;0
Eriswil;Oberaargau;Kindergarten Eriswil;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;18;12;1;1
Graben;Oberaargau;Schulhaus Graben;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;21;12;0;0
Herzogenbuchsee;Oberaargau;Kindergarten Hagez;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;22;10;5;5
Herzogenbuchsee;Oberaargau;Kindergärten Hubel I + II;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;40;20;7;9
Herzogenbuchsee;Oberaargau;Kindergarten Kreuz;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;21;8;1;4
Herzogenbuchsee;Oberaargau;Kindergarten Oberönz;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;26;14;3;5
Herzogenbuchsee;Oberaargau;Kindergarten Rosenweg;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;21;9;4;6
Huttwil;Oberaargau;Kindergarten Städtli;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;88;47;14;18
Langenthal;Oberaargau;Kindergarten Bäregg 1/2;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;37;21;11;24
Langenthal;Oberaargau;Kindergarten Eymann;Öffentliche Schule;Deutsch;Vorschulstufe;Vorschulstufe;18;9;3;8
